year,report_code,corp_code,corp_name,stock_code,corp_cls,auditor_raw,auditor_group,audit_contract_fee,audit_actual_fee,audit_contract_hours,audit_actual_hours,audit_opinion,revenue,revenue_account,revenue_fs_div,source_rcept_no,warnings
2023,11011,00144650,유신,054930,K,성현 회계법인,other_or_unknown,234000000,234000000,1958,1958,,,,,20240321001240,
2023,11011,00400121,유아이디,069330,K,삼덕회계법인,other_or_unknown,120000000,120000000,994,1110,,,,,20240321000023,
2023,11011,00256380,유아이엘,049520,K,삼일회계법인,samil_pwc,284000000,284000000,2250,2153,,,,,20240313001738,
2023,11011,01798980,유안타제15호스팩,473050,K,한길회계법인,other_or_unknown,10000000,10000000,,82,,,,,20240320000388,
2023,11011,01196313,유에스티,263770,K,신한회계법인,other_or_unknown,45000000,45000000,868,964,,,,,20240320000959,
2023,11011,01152586,유일로보틱스,388720,K,회계법인 세일원,other_or_unknown,60000000,65000000,792,696,,,,,20240320001459,
2023,11011,00184667,유진기업,023410,K,한영회계법인,ey_hanyoung,530000000,530000000,,5514,,,,,20240320002020,
2023,11011,00234227,유진로봇,056080,K,한영회계법인,ey_hanyoung,254000000,254000000,1588,1516,,,,,20240321001675,
2023,11011,01787072,유진스팩10호,468760,K,동아송강회계법인,other_or_unknown,6000000,6000000,,55,,,,,20240326000314,
2023,11011,00531014,유진테크,084370,K,삼덕회계법인,other_or_unknown,175000000,175000000,1891,1458,,,,,20240321001566,
2023,11011,01085026,유진테크놀로지,240600,K,삼일회계법인,samil_pwc,70000000,70000000,770,832,,,,,20240320001683,
2023,11011,00961774,유티아이,179900,K,예일회계법인,other_or_unknown,90000000,90000000,930,938,,,,,20240315000603,
2023,11011,01110678,유틸렉스,263050,K,삼정회계법인,samjong_kpmg,120000000,120000000,1100,1127,,,,,20240819000219,
2023,11011,00843900,육일씨엔에쓰,191410,K,신우회계법인,other_or_unknown,130000000,78000000,1236,1039,,,,,20240314001147,
